phase,train_accuracy,val_accuracy,train_loss,val_loss
1,0.9924685955047607,0.6778523325920105,0.03633321821689606,1.628017783164978
2,0.9882845282554626,0.688758373260498,0.04885262995958328,1.3832355737686157
3,0.989330530166626,0.688758373260498,0.044501591473817825,1.6508032083511353
4,0.9962342977523804,0.6795302033424377,0.027351072058081627,1.3235695362091064
5,0.9646443724632263,0.6703020334243774,0.11242818832397461,1.6252163648605347
